2025-04-30 12:42:12,918 | main_1746013332_97848(id=97848) |   DEBUG | log.py:49 | get_logger | New logger successfully initialised at /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/.logs/main_1746013332_97848.log
2025-04-30 12:42:14,873 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:15 | <module> | Explanation default loading/output path set to /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix.
2025-04-30 12:42:15,352 | main_1746013332_97848(id=97848) |    INFO | utils.py:47 | get_torch_device | Using mps as torch device.
2025-04-30 12:42:15,352 | main_1746013332_97848(id=97848) |   DEBUG | utils.py:54 | get_torch_device | Set number of threads to 1 as using a non-Linux machine.
2025-04-30 12:42:15,353 | main_1746013332_97848(id=97848) |    INFO | batch_evaluate.py:325 | <module> | Successfully got script arguments: Namespace(random_seed=42, checkpoints_path=PosixPath('checkpoints'), num_workers=4, batch_size=32, visualise=False, h5_output_name='demo_output', dataset_name='EuroSATRGB', normalisation_type='scaling', model_name='ResNet50', explainer_name='GradCAM', shap_max_evals=10000, shap_batch_size=0, shap_multi_processes=1, output_completeness_proportion=0.2, continuity_perturbation_degree=0.15, compactness_threshold=0.5, samples_per_class=32, deletion_method='shuffle', deletion_iterations=15, num_random_trials=5, similarity_intersection_proportion=0.1, min_samples_for_similarity=10).
2025-04-30 12:42:15,358 | main_1746013332_97848(id=97848) |   DEBUG | batch_evaluate.py:39 | get_data_and_model | Loading dataset and model...
2025-04-30 12:42:15,358 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:29 | get_model_type | Attempting to load ResNet50 model...
2025-04-30 12:42:15,358 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:62 | get_dataset_object | Attempting to load EuroSATRGB dataset...
2025-04-30 12:42:15,376 | main_1746013332_97848(id=97848) |   DEBUG | eurosat.py:70 | __init__ | Normalising EuroSATRGB(test) assuming mean and std of 0.5.
2025-04-30 12:42:15,376 | main_1746013332_97848(id=97848) |   DEBUG | core.py:339 | build_transforms | Using RSScalingTransform(channel_wise=False, clamp=True) for EuroSATRGB(test).
2025-04-30 12:42:15,376 | main_1746013332_97848(id=97848) |   DEBUG | core.py:343 | build_transforms | Using Normalize(mean=[0.5, 0.5, 0.5], std=[0.5, 0.5, 0.5], inplace=True) for EuroSATRGB(test).
2025-04-30 12:42:15,377 | main_1746013332_97848(id=97848) |   DEBUG | core.py:356 | build_transforms | Upsizing EuroSATRGB(test) images via Resize.
2025-04-30 12:42:15,377 | main_1746013332_97848(id=97848) |    INFO | core.py:364 | build_transforms | Built transforms for EuroSATRGB(test).
2025-04-30 12:42:15,419 | main_1746013332_97848(id=97848) |    INFO | __init__.py:66 | get_dataset_object | Dataset EuroSATRGB(test) loaded with 5400 samples.
2025-04-30 12:42:15,705 | main_1746013332_97848(id=97848) |   DEBUG | resnet.py:41 | __init__ | Model ResNet50 initialised without pretrained weights.
2025-04-30 12:42:15,705 | main_1746013332_97848(id=97848) |   DEBUG | resnet.py:60 | __init__ | Changing output linear layer from 1000 to 10 output channels.
2025-04-30 12:42:15,706 | main_1746013332_97848(id=97848) |    INFO | resnet.py:63 | __init__ | Model ResNet50 successfully initialised with 3 input channels and 10 output classes.
2025-04-30 12:42:15,840 | main_1746013332_97848(id=97848) |   DEBUG | core.py:62 | load_weights | Loaded weights from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/checkpoints/EuroSATRGB/ResNet50/full/zxyyp118_final_0.990.st successfully to ResNet50.
2025-04-30 12:42:15,989 | main_1746013332_97848(id=97848) |   DEBUG | batch_evaluate.py:67 | get_hdf5 | Opened HDF5 file /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/results/GradCAM/demo_output.h5.
2025-04-30 12:42:16,011 | main_1746013332_97848(id=97848) |   DEBUG | batch_evaluate.py:67 | get_hdf5 | Opened HDF5 file /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/results/GradCAM/demo_output.h5.
2025-04-30 12:42:16,208 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:288 | get_explainer_object | Building GradCAM explainer...
2025-04-30 12:42:16,359 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:196 | load_state | Attempting to load explanation from /Users/lucah/Library/CloudStorage/OneDrive-DurhamUniversity/cs_project/xai_output_unix/EuroSATRGB/c00/b000/GradCAM/ResNet50.npz to GradCAM.
2025-04-30 12:42:16,576 | main_1746013332_97848(id=97848) |   DEBUG | __init__.py:210 | load_state | Loaded input (shape=torch.Size([32, 3, 224, 224])) matches the provided check input (shape=torch.Size([32, 3, 224, 224])) with diff=0.0.
